hex	en	zh
#000033	Abyssopelagic Water	深渊水层
#DBCD64	Acacia	金合欢
#486241	Acacia Green	金合欢绿
#969C92	Acacia Haze	金合欢霾
#A69D64	Acacia Tree	金合欢树
#2C3E56	Academic Blue	学术蓝
#79888E	Academy Grey	学院灰
#525367	Academy Purple	学院紫
#35312C	Acadia	阿卡迪亚
#E5B7BE	Acadia Bloom	阿卡迪亚花开
#48295B	Acai	巴西莓
#42314B	Acai Berry	巴西莓果
#942193	Acai Juice	巴西莓汁
#4C2F27	Acajou	桃花心木
#9899A7	Acanthus	茛苕
#90977A	Acanthus Leaf	茛苕叶
#75AA94	Acapulco	阿卡普尔科
#7FA8A7	Acapulco Aqua	阿卡普尔科水色
#4E9AA8	Acapulco Cliffs	阿卡普尔科悬崖
#65A7DD	Acapulco Dive	阿卡普尔科潜游
#EB8A44	Acapulco Sun	阿卡普尔科艳阳
#208468	Accent Green Blue	强调绿蓝
#E56D00	Accent Orange	强调橙
#D2C7B7	Accessible Beige	亲和米色
#7C94B2	Accolade	赞誉
#090807	Accursed Black	诅咒之黑
#C7CCE7	Ace	王牌
#727A5F	Aceituna Picante	辣橄榄
#4E4F48	Aceto Balsamico	巴萨米克醋
#00FF22	Acid	酸
#EFEDD7	Acid Blond	酸金发
#A8C74D	Acid Candy	酸糖果
#11FF22	Acid Drop	酸滴
#8FFE09	Acid Green	酸绿
#B9DF31	Acid Lime	酸青柠
#00EE22	Acid Pool	酸池
#33EE66	Acid Pops	酸汽水
#30FF21	Acid Reflux	酸涌
#4FC172	Acid Sleazebag	酸痞绿
#9E9991	Acier	钢铁色
#9CA7B5	Acier Tint	钢铁浅调
#FFD8B1	Acini di Pepe	胡椒粒
#7249D6	Aconite Purple	乌头紫
#9C52F2	Aconite Violet	乌头堇
#7F5E50	Acorn	橡果
#D48948	Acorn Nut	橡果坚果
#B87439	Acorn Spice	橡果辛香
#EDA740	Acorn Squash	橡果南瓜
#766B69	Acoustic Brown	声学棕
#EFECE1	Acoustic White	声学白
#F8E2CA	Acropolis	雅典卫城
#B3E1E8	Across the Bay	海湾彼岸
#FF44EE	Actinic Light	光化光
#00504B	Action Green	行动绿
#00A67E	Active Green	活力绿
#006F72	Active Turquoise	活力青
#BB1133	Active Volcano	活火山
#A7A6A3	Actor’s Star	演员之星
#46ADF9	Adamantine Blue	精金蓝
#3B845E	Adamite Green	水砷锌矿绿
#661111	Adana Kebab?	阿达纳烤肉
#867E70	Adaptive Shade	自适应影调
#545651	Addo	阿多大象
#293947	Adept	老练
#7C8286	Adeptus Battlegrey	修会战灰
#9E9CAB	Adhesion	附着
#B7C1BE	Adieu	告别
#B0B9C1	Adirondack	阿迪朗达克
#74858F	Adirondack Blue	阿迪朗达克蓝
#C4AA9B	Adirondack Path	阿迪朗达克小径
#50647F	Admiral Blue	海军上将蓝
#404E61	Admiralty	海军部蓝
#F6F3D3	Admiration	倾慕
#BD6C48	Adobe	土坯
#FB9587	Adobe Avenue	土坯大道
#DCBFA6	Adobe Beige	土坯米色
#C5703F	Adobe Dusk	土坯黄昏
#C99F93	Adobe Glow	土坯辉光
#BA9F99	Adobe Rose	土坯玫红
#E8DEC5	Adobe Sand	土坯沙
#E5C1A7	Adobe South	土坯南
#C3A998	Adobe Straw	土坯稻草
#D6AE9A	Adobe Village	土坯村
#E6DBC4	Adobe White	土坯白
#A99681	Adolescent Rodent	少年啮齿
#64B5BF	Adonis	阿多尼斯
#EFBF4D	Adonis Rose Yellow	阿多尼斯玫黄
#8D8DC9	Adora	阿多拉
#E3BEB0	Adorable	可爱
#B8CACE	Adorbs	萌萌哒
#014A69	Adriatic	亚得里亚
#5C899B	Adriatic Blue	亚得里亚蓝
#96C6CD	Adriatic Haze	亚得里亚霾
#D3ECE4	Adriatic Mist	亚得里亚薄雾
#016081	Adriatic Sea	亚得里亚海
#4B9099	Adrift	漂流
#758181	Adrift at Sea	海上漂流
#93B8E3	Adrift on the Nile	尼罗漂流
#20726A	Advantageous	占优绿
#34788C	Adventure	冒险
#F87858	Adventure Island Pink	冒险岛粉
#6F9FB9	Adventure Isle	冒险岛
#3063AF	Adventure of the Seas	海洋历险
#EDA367	Adventure Orange	冒险橙
#72664F	Adventurer	冒险家
#7CAC88	Adventurine	砂金石绿
#D8CB4B	Advertisement Green	广告绿
#0081A8	Advertising Blue	广告蓝
#53A079	Advertising Green	广告绿
#E6D3B6	Aebleskiver	丹麦松饼
#1B416F	Aegean Blue	爱琴蓝
#4C8C72	Aegean Green	爱琴绿
#9CBBE2	Aegean Mist	爱琴薄雾
#508FA2	Aegean Sea	爱琴海
#E48B59	Aegean Sky	爱琴天空
#9BA0A4	Aegean Splendour	爱琴辉煌
#A0B2C8	Aerial View	鸟瞰
#7CB9E8	Aero	航空蓝
#C0E8D5	Aero Blue	航空蓝
#A2C348	Aerobic Fix	有氧修护绿
#CACECD	Aerodynamic	流线灰
#2B3448	Aeronautic	航空深蓝
#FF4F00	Aerospace Orange	航天橙
#355376	Aerostatics	空气静力蓝
#E3DDD3	Aesthetic White	美学白
#745085	Affair	韵事
#AAFFFF	Affen Turquoise	阿芬青
#FED2A5	Affinity	亲和
#905E26	Afghan Carpet	阿富汗地毯
#E2D7B5	Afghan Hound	阿富汗猎犬
#D3A95C	Afghan Sand	阿富汗沙
#78A3C2	Afloat	漂浮
#C7927A	African Bubinga	非洲花梨
#939899	African Grey	非洲灰
#CD4A4A	African Mahogany	非洲桃花心木
#826C68	African Mud	非洲泥
#86714A	African Plain	非洲平原
#B16B40	African Safari	非洲狩猎
#CCAA88	African Sand	非洲沙
#B085B7	African Violet	非洲紫罗兰
#FD8B60	After Burn	灼痕
#3C3535	After Dark	后深
#E3F5E5	After Dinner Mint	餐后薄荷
#3D2E24	After Eight	八点之后
#D6EAE8	After Eight Filling	八点后夹心
#38393F	After Midnight	后午夜
#FEC65F	After Shock	余震
#8BC4D1	After the Rain	后雨
#33616A	After the Storm	后风暴
#24246D	After Work Blue	下班蓝
#C95EFB	After-Party Pink	派对余兴粉
#85C0CD	Aftercare	善后蓝
#F2E3C5	Afterglow	余晖
#D91FFF	Afterlife	来世
#FBCB78	Afternoon	午后
#6E544B	Afternoon Coffee	午后咖啡
#B7B5A4	Afternoon Nap	午睡
#87CEEB	Afternoon Sky	午后天空
#D9C5A1	Afternoon Stroll	午后漫步
#594E40	Afternoon Tea	午后茶
#BBC5DE	Agapanthus	百子莲
#956A60	Agate Brown	玛瑙棕
#5A5B74	Agate Violet	玛瑙堇
#879D99	Agave	龙舌兰
#5A6E6A	Agave Frond	龙舌兰叶
#70766E	Agave Green	龙舌兰绿
#879C67	Agave Plant	龙舌兰植物
#886B2E	Aged Antics	陈年把戏
#846262	Aged Beech	陈年山毛榉
#D7CFC0	Aged Beige	陈年米色
#986456	Aged Bourbon	陈年波本
#87413F	Aged Brandy	陈年白兰地
#5F4947	Aged Chocolate	陈年巧克力
#E0DCDA	Aged Cotton	陈年棉
#898253	Aged Eucalyptus	陈年桉树
#DD9944	Aged Gouda	陈年高达奶酪
#F9D5AF	Aged Ivory	陈年象牙
#6C6956	Aged Jade	陈年翡翠
#73343A	Aged Merlot	陈年梅洛红
#7E7E7E	Aged Moustache Grey	老胡灰
#6E6E30	Aged Mustard Green	陈年芥末绿
#7E7666	Aged Olive	陈年橄榄
#CEB588	Aged Papyrus	陈年纸莎草
#E9DDCA	Aged Parchment	陈年羊皮纸
#889999	Aged Pewter	陈年锡器
#363E31	Aged Pine	陈年松
#C99F99	Aged Pink	陈年粉
#FFFA86	Aged Plastic Casing	老化塑料壳
#A442A0	Aged Purple	陈年紫
#CCB27A	Aged Seagrass	陈年海草
#7A4134	Aged Teak	陈年柚木
#A58EA9	Aged to Perfection	陈年至臻
#9D7147	Aged Whisky	陈年威士忌
#E8DECD	Aged White	陈年白
#895460	Aged Wine	陈年酒红
#6A5B4E	Ageing Barrel	陈酿桶
#ECECDF	Ageless	永恒
#E7A995	Ageless Beauty	永恒的美丽
#00FBFF	Aggressive Aqua	烈性水色
#6FFFFF	Aggressive Baby Blue	烈性淡蓝
#FF7799	Aggressive Salmon	烈性鲑粉
#393121	Agrax Earthshade	阿格拉克斯土影
#8E9683	Agreeable Green	宜人绿
#FFB347	Agrellan Badland	阿格雷兰荒原
#A17C59	Agrellan Earth	阿格里兰大地
#F0E2D3	Agrodolce	阿格罗多斯
#9FC5CC	Agua Fría	阿瓜弗里亚
#00FA92	Ahaetulla Prasina	阿哈图拉·普拉西纳
#C22147	Ahmar Red	艾哈迈尔红
#2A3149	Ahoy	阿霍伊
#0082A1	Ahoy! Blue	喂！蓝
#199EBD	Ahriman Blue	阿里曼蓝
#274447	Ai Indigo	艾靛
#ECF7F7	Aijiro White	相二郎白
#EEE5E1	Aimee	艾米
#2E372E	Aimiru Brown	艾米鲁棕
#69A3C1	Air Blue	空气蓝
#D7D1E9	Air Castle	空中楼阁
#5D8AA8	Air Force Blue	空军蓝
#D8F2EE	Air of Mint	薄荷之气
#72A0C1	Air Superiority Blue	制空蓝
#F6DCD2	Air-Kiss	飞吻
#A2C2D0	Airborne	空降蓝
#AA6C51	Airbrushed Copper	喷漆铜
#354F58	Aircraft Blue	飞机蓝
#D9E5E4	Airflow	气流白
#364D70	Airforce	空军蓝
#EDF2F8	Airport	机场白
#AEC1D4	Airway	航线蓝
#DAE6E9	Airy	轻盈
#88CCEE	Airy Blue	轻盈蓝
#DBE0C4	Airy Fields	轻盈原野
#FAECD9	Ajo Lily	百合
#D3DE7B	Ajwain Green	阿杰万绿
#C3272B	Akabeni	赤红
#BC012E	Akai Red	赤井红
#F07F5E	Akakō Red	赤光红
#C90B42	Akari Red	明里红
#BEB29A	Akaroa	阿卡罗阿
#CF3A24	Ake Blood	阿克血
#983FB2	Akebi Purple	紫木通
#FA7B62	Akebono Dawn	黎明
#B0E313	Akhdhar Green	阿赫达尔绿
#601EF9	Akihabara Arcade	秋叶原商场
#E12120	Akira Red	晃红
#D63136	Akuma	阿库玛
#871646	Akuma’s Fury	阿库玛之怒
#B9D08B	Al Green	艾尔·格林
#A32638	Alabama Crimson	阿拉巴马深红色
#F3E7DB	Alabaster	雪花石膏
#E9E3D2	Alabaster Beauty	雪花石膏美
#F0DEBD	Alabaster Gleam	雪花石膏微光
#81585B	Alaea	阿拉埃亚
#8E8C97	Alaitoc Blue	阿莱托克蓝
#FFAE52	Alajuela Toad	阿拉胡埃拉蟾蜍
#CA9234	Alameda Ochre	阿拉米达赭色
#939B71	Alamosa Green	阿拉莫萨格林
#EC0003	Alarm	警报
#2CE335	Alarming Slime	令人震惊的黏液
#DADAD1	Alaska	阿拉斯加
#61A4CE	Alaskan Blue	阿拉斯加蓝
#BCBEBC	Alaskan Grey	阿拉斯加灰
#7E9EC2	Alaskan Ice	阿拉斯加冰
#ECF0E5	Alaskan Mist	阿拉斯加薄雾
#05472A	Alaskan Moss	阿拉斯加苔藓
#CDDCED	Alaskan Skies	阿拉斯加的天空
#BAE3EB	Alaskan Wind	阿拉斯加风
#CC0001	Albanian Red	阿尔巴尼亚红
#38546E	Albeit	尽管
#4F5845	Albert Green	阿尔伯特·格林
#E1DACB	Albescent	泛白
#FBEEE5	Albino	泛白
#E7CF8C	Alchemy	炼金术
#AAA492	Aldabra	阿尔达伯拉
#EFC1A6	Alesan	阿莱桑
#4D7EAA	Aleutian Isle	阿留申岛
#FF8F73	Alexandria	亚历山大港
#FCEFC1	Alexandria’s Lighthouse	亚历山大灯塔
#BCD9DC	Alexandrian Sky	亚历山大天空
#598C74	Alexandrite Green	紫翠玉绿
#72999E	Alexandrite Teal	紫翠玉青色
#A55232	Alfajor Brown	阿尔法乔棕
#B3B299	Alfalfa	苜蓿
#78AD6D	Alfalfa Bug	苜蓿臭虫
#546940	Alfalfa Extract	苜蓿提取物
#80365A	Alfonso Olive	阿方索·奥利夫
#8DA98D	Alga Moss	藻类苔藓
#54AC68	Algae	藻类
#983D53	Algae Red	海藻红
#21C36F	Algal Fuel	藻燃料
#FC5A50	Algerian Coral	阿尔及利亚珊瑚
#008DB0	Algiers Blue	阿尔及尔蓝
#C1DBEC	Algodon Azul	阿尔戈东·阿祖尔
#00A094	Alhambra	阿罕布拉
#F7F2E1	Alhambra Cream	阿罕布拉奶油
#00A465	Alhambra Green	阿罕布拉绿
#D4CBC4	Alibi	不在场
#F0F8FF	Alice Blue	爱丽丝蓝
#C2CED2	Alice White	爱丽丝白
#415764	Alien	外星
#0CFF0C	Alien Abduction	外星人绑架
#84DE02	Alien Armpit	外星人腋窝
#B9CC81	Alien Breed	外星品种
#F0A3BC	Alien Conspiracy Pink	外星人阴谋粉色
#55FF33	Alien Parasite	外星寄生虫
#490648	Alien Purple	外星紫
#00CC55	Alienated	疏离
#9790A4	Alienator Grey	异化者灰色
#00728D	Align	对齐
#FEDAB9	Alishan Dawn	阿里山黎明
#E32636	Alizarin	茜素
#676C58	All About Olive	关于橄榄的一切
#E6999D	All Dressed Up	全部盛装打扮
#EFD7E7	All Made Up	一切都是编造出来的
#455454	All Nighter	通宵达旦
#B30103	All Systems Red	所有系统红色
#994411	All the Leaves Are Brown	叶棕
#C68886	All’s Ace	都是王牌
#5A6A8C	Allegiance	效忠
#B4B2A9	Allegory	寓言
#B28959	Allegro	快板
#B8C4D9	Alley	胡同
#656874	Alley Cat	野猫
#2B655F	Alliance	联盟
#886600	Alligator	鳄鱼
#C5D17B	Alligator Alley	鳄鱼巷
#EAEED7	Alligator Egg	鳄鱼蛋
#444411	Alligator Gladiator	鳄鱼角斗士
#F1EAD4	Allison Lace	艾莉森蕾丝
#9569A3	Allium	葱属
#908F92	Alloy	合金
#C46210	Alloy Orange	合金橙
#1F6A7D	Allports	奥尔波特斯
#F8CDAA	Allspice	多香果
#8E443D	Allspice Berry	多香果浆果
#ED2E38	Allura Red	诱惑红
#7291B4	Allure	倾城
#9EC4CD	Alluring Blue	诱人的蓝色
#F8DBC2	Alluring Gesture	诱人的姿态
#FFF7D8	Alluring Light	诱人的光芒
#977B4D	Alluring Umber	诱人的琥珀色
#EFE1D2	Alluring White	诱人的白色
#BB934B	Alluvial Inca	冲积印加
#E8DEC9	Almanack	年历
#C2A37E	Almandine	铁铝榴石
#F5E0C9	Almeja	阿尔梅哈
#E8D6BD	Almendra Tostada	阿尔门德拉·托斯塔达
#EDDCC8	Almond	杏仁
#DFD5CA	Almond Beige	杏仁米色
#E9C9A9	Almond Biscuit	杏仁饼干
#F2ACB8	Almond Blossom	杏仁花
#E5D3B9	Almond Brittle	杏仁脆
#CCB590	Almond Buff	杏仁浅黄
#D8C6A8	Almond Butter	杏仁黄油
#EEC87C	Almond Cookie	杏仁饼干
#F4C29F	Almond Cream	杏仁奶油
#9A8678	Almond Frost	杏仁霜
#595E4C	Almond Green	杏仁绿
#EFE3D9	Almond Icing	杏仁糖霜
#F6E3D4	Almond Kiss	杏仁吻
#D6C0A4	Almond Latte	杏仁拿铁
#D2C9B8	Almond Milk	杏仁奶
#F4EFC1	Almond Oil	杏仁油
#E5DBC5	Almond Paste	杏仁酱
#C8B960	Almond Puff	杏仁松
#F0E8E0	Almond Roca	杏仁乐家
#CC8888	Almond Rose	杏仁玫红
#E1CFB2	Almond Silk	杏仁丝
#BF9E77	Almond Toast	杏仁吐司
#7D665B	Almond Truffle	杏仁松露
#E6C9BC	Almond Willow	杏仁柳
#D6CAB9	Almond Wisp	杏仁缕
#FEDEBC	Almondine	杏仁碱
#BFE5B1	Almost Aloe	几乎芦荟
#E0A787	Almost Apricot	几乎杏
#98DDC5	Almost Aqua	几乎水色
#6B7070	Almost Charcoal	几乎炭
#3A5457	Almost Famous	近乎成名
#E5D9D6	Almost Mauve	几乎淡紫
#F0E3DA	Almost Pink	几乎粉
#BEB0C2	Almost Plum	几乎梅紫
#6A2DED	Almost Royal	几乎皇家
#817A60	Aloe	芦荟
#C97863	Aloe Blossom	芦荟花
#DBE5B9	Aloe Cream	芦荟奶油
#ECF1E2	Aloe Essence	芦荟精华
#61643F	Aloe Leaf	芦荟叶
#DCF2E3	Aloe Mist	芦荟薄雾
#DFE2C9	Aloe Nectar	芦荟花蜜
#B8BA87	Aloe Plant	芦荟植物
#888B73	Aloe Thorn	芦荟刺
#8A9480	Aloe Tip	芦荟尖
#678779	Aloe Vera	芦荟
#7E9B39	Aloe Vera Green	芦荟绿
#848B71	Aloe Vera Tea	芦荟茶
#D0D3B7	Aloe Wash	芦荟洗
#6A432D	Aloeswood	沉香
#1DB394	Aloha	阿罗哈
#E9AA91	Aloha Sunset	阿罗哈日落
#000066	Alone in the Dark	独自在黑暗中
#D4E2E6	Aloof	冷漠
#C9C9C0	Aloof Grey	冷漠灰
#D6C5A0	Aloof Lama	孤傲喇嘛
#F9EDE2	Alpaca	羊驼
#D7B8A9	Alpaca Mittens	羊驼毛手套
#F0BEB8	Alpenglow	朝霞
#588BB4	Alpha Blue	阿尔法蓝
#4D5778	Alpha Centauri	半人马座阿尔法星
#AE8E5F	Alpha Gold	阿尔法金
#715A45	Alpha Male	阿尔法男性
#628FB0	Alpha Tango	阿尔法探戈
#ABCDEF	Alphabet Blue	字母蓝色
#FEDCBA	Alphabet Soup	字母汤
#AD8A3B	Alpine	高山
#A9B4A9	Alpine Air	高山空气
#BADBE6	Alpine Alabaster	高山雪花石膏
#F7E0BA	Alpine Berry Yellow	高山浆果黄
#DBE4E5	Alpine Blue	高山蓝
#40464D	Alpine Duck Grey	高山鸭灰
#99EEFF	Alpine Expedition	高山探险
#5F6D91	Alpine Forget-Me-Not	高山勿忘我
#E0DED2	Alpine Frost	高山霜
#F1F2F8	Alpine Goat	高山山羊
#005F50	Alpine Green	高山绿
#ABBEC0	Alpine Haze	高山霾
#449955	Alpine Herbs	高山药草
#4598AB	Alpine Lake	高山湖
#6AAE2E	Alpine Meadow	高山草地
#DED3E6	Alpine Moon	高山月
#A6CCD8	Alpine Morning Blue	高山早晨蓝
#D3DED5	Alpine Peak	高山山峰
#234162	Alpine Race	高山竞赛
#051009	Alpine Salamander	高山蝾螈
#79B4CE	Alpine Sky	高山天空
#A5A99A	Alpine Summer	高山夏
#515A52	Alpine Trail	高山小径
#FFAAA5	Alright Then I Became a Princess	好吧，那我就成了公主了
#B1575F	Alsike Clover Red	艾尔斯克三叶草红
#DFD5B1	Alsot Olive	阿尔索特橄榄
#4D4C80	Altar of Heaven	天坛
#5F1A10	Altar Wine	坛酒
#69656D	Alter Ego	另一个自我
#EFC7BE	Altered Pink	蜕变粉
#CDC6C5	Alto	阿尔托
#5A464B	Alton Brown	奥尔顿棕
#DDBB00	Alu Gobi	阿鲁戈壁
#000055	Alucard’s Night	阿鲁卡多之夜
#848789	Aluminium	铝
#D2D9DB	Aluminium Foil	铝箔
#8C8D91	Aluminium Silver	铝银
#ADAFAF	Aluminium Sky	铝天
#A5C970	Alverda	阿尔维达
#EBE5D2	Always Almond	永远杏仁
#A0A667	Always Apple	永远苹果
#A2BACB	Always Blue	永远蓝
#479532	Always Greener	永远更环保
#11AA00	Always Greener Grass	邻家草更青
#66778C	Always Indigo	永远靛蓝
#DFD7CB	Always Neutral	永远中性
#E79DB3	Always Rosey	永远玫瑰色
#F4E2D6	Alyssa	艾莉莎
#F2D5D7	Alyssum	香薰
#417086	Am I Blue?	我是蓝色的吗？
#016E85	Amalfi	阿马尔菲
#297CBF	Amalfi Coast	阿马尔菲海岸
#033B9A	Amalfitan Azure	阿马尔菲天蓝
#E86EAD	Amaranth	苋菜
#7B2331	Amaranth Blossom	苋菜花
#9F2B68	Amaranth Deep Purple	苋菜色 深紫色
#F19CBB	Amaranth Pink	苋菜粉色
#723F89	Amaranth Purple	苋菜紫
#D3212D	Amaranth Red	苋菜红
#5F4053	Amaranthine	苋菜素
#AB6F60	Amaretto	阿玛雷托
#C09856	Amaretto Sour	苦杏仁酸酒
#FFF1D4	Amarillo Bebito	阿马里洛·贝比托
#FBF1C3	Amarillo Yellow	阿马里洛黄
#551199	Amarklor Violet	阿马克洛紫罗兰
#B85045	Amaryllis	朱顶红
#806568	Amazing Amethyst	惊人的紫水晶
#A9A797	Amazing Boulder	惊人的巨石
#BEB5A9	Amazing Grey	惊人的灰色
#017F9D	Amazing Sky	神奇的天空
#387B54	Amazon	亚马逊
#EBEBD6	Amazon Breeze	亚马逊微风
#505338	Amazon Depths	亚马逊深处
#31837E	Amazon Drift	亚马逊漂流
#606553	Amazon Foliage	亚马逊叶
#786A4A	Amazon Green	亚马逊绿
#686747	Amazon Jungle	亚马逊丛林
#ECECDC	Amazon Mist	亚马逊薄雾
#7E8C7A	Amazon Moss	亚马逊苔藓
#80E45F	Amazon Parrot	亚马逊鹦鹉
#948F54	Amazon Queen	亚马逊女王
#777462	Amazon River	亚马逊河
#E6B2B8	Amazon River Dolphin	亚马逊河海豚
#7E7873	Amazon Stone	亚马逊石
#ABAA97	Amazon Vine	亚马逊藤
#AA6644	Amazonian	亚马逊
#A7819D	Amazonian Orchid	亚马逊兰花
#00C4B0	Amazonite	天河石
#0D2F5A	Ambassador Blue	蓝色大使
#FFBF00	Amber	琥珀
#C69C6A	Amber Autumn	琥珀秋
#D7A361	Amber Brew	琥珀酿造
#B46A4D	Amber Brown	琥珀棕
#F6BC77	Amber Dawn	琥珀黎明
#BA843C	Amber Essence	琥珀精华
#C79958	Amber Glass	琥珀玻璃
#F29A39	Amber Glow	琥珀辉光
#C19552	Amber Gold	琥珀金
#AC8A41	Amber Green	琥珀绿
#D0A592	Amber Grey	琥珀灰
#BA9971	Amber Leaf	琥珀叶
#EED1A5	Amber Moon	琥珀月
#F9D975	Amber Pearl	琥珀珍珠
#B18140	Amber Romance	琥珀浪漫
#C0863F	Amber Sienna	琥珀赭色
#FF9988	Amber Sun	琥珀太阳
#FFAFA3	Amber Tide	琥珀潮汐
#D78B55	Amber Wave	琥珀波浪
#FAB75A	Amber Yellow	琥珀黄
#AA8559	Amberized	琥珀化
#E7E7E6	Ambience White	氛围白
#F8EDE0	Ambient Glow	环境光
#C2E2E7	Ambient Light	环境光
#97653F	Ambit	范围
#DFB77D	Ambitious	雄心勃勃
#F0CB97	Ambitious Amber	雄心勃勃的琥珀
#E9687E	Ambitious Rose	雄心勃勃的玫瑰
#C6E1BC	Ambrosia	仙馔
#EEE9D3	Ambrosia Coffee Cake	仙馔咖啡蛋糕
#FFF4EB	Ambrosia Ivory	仙馔象牙
#F4DED3	Ambrosia Salad	仙馔沙拉
#47AE9C	Ambrosial Oceanside	安布罗西尔欧申赛德
#6A5ACD	Ameixa	阿梅克萨
#BECCC2	Amelia	阿米莉亚
#FEA7BD	Amélie’s Tutu	艾米丽的芭蕾舞短裙
#34546D	America’s Cup	美洲杯
#7595AB	American Anthem	美国国歌
#A73340	American Beauty	美国丽人
#3B3B6D	American Blue	美国蓝
#391802	American Bronze	美国古铜
#52352F	American Mahogany	美国桃花心木
#63403A	American Milking Devon	美国德文奶牛
#FF8B00	American Orange	美国橙
#FF9899	American Pink	美国粉
#B32134	American Red	美国红
#626E71	American River	美国河
#995544	American Roast	美国烤肉
#FF033E	American Rose	美国玫红
#551B8C	American Violet	美国紫罗兰
#EFDCD4	American Yorkshire	美国约克郡
#0477B4	Americana	美洲风情
#463732	Americano	美式咖啡
#9966CC	Amethyst	紫水晶
#ECEAEC	Amethyst Cream	紫水晶奶油
#4F3C52	Amethyst Dark Violet	紫水晶深紫罗兰
#8F00FF	Amethyst Ganzstar	紫水晶甘兹星
#776985	Amethyst Gem	紫水晶宝石
#9085C4	Amethyst Grey	紫水晶灰
#9C89A1	Amethyst Grey Violet	紫水晶灰紫罗兰
#A0A0AA	Amethyst Haze	紫水晶霾
#D0C9C6	Amethyst Ice	紫水晶冰
#CFC2D1	Amethyst Light Violet	紫水晶浅紫罗兰
#926AA6	Amethyst Orchid	紫水晶兰花紫
#9C8AA4	Amethyst Paint	紫水晶油漆
#9B91A1	Amethyst Phlox	紫水晶福禄考
#BD97CF	Amethyst Show	紫水晶展
#95879C	Amethyst Smoke	紫水晶烟
#CDC7D5	Amethyst Tint	紫水晶调
#DED1E0	Ametrine Quartz	紫黄晶石英
#783E48	Amfissa Olive	阿姆菲萨橄榄
#DF965B	Amiable Orange	亲切橙
#E6DDBE	Amish Bread	阿米什面包
#3A5F4E	Amish Green	阿米什·格林
#A58D6D	Ammonite Fossil	菊石化石
#1560BD	Amnesia Blue	失忆症蓝
#F8FBEB	Amnesiac White	失忆白
#DDCC22	Amok	阿莫克
#EE3377	Amor	爱慕
#BB22AA	Amora Purple	阿莫拉紫
